-,-,-,-,-,-,-,-,-,-,-,-
-0.35,0.09,-0.44,85.21,-16.24,162.29,0.57,184.02,1,708,1,1
-0.06,0.02,-0.74,20.32,13.98,207.40,0.74,208.86,1,704,2,1
0.34,0.48,-0.66,-45.90,17.88,229.31,0.89,234.54,1,692,1,0
0.61,0.71,-0.55,-69.34,13.73,217.96,1.09,229.13,1,660,0,0
0.47,0.88,-0.31,-64.03,32.59,197.75,1.05,210.40,1,649,1,0
0.20,1.31,-0.09,-34.24,100.77,191.53,1.32,219.11,1,662,0,1
0.84,1.41,-0.37,7.32,178.34,186.65,1.68,258.26,1,676,1,0
2.10,1.16,-0.66,41.26,168.70,146.18,2.49,227.00,1,686,1,0
3.23,0.74,-0.72,10.62,70.31,75.32,3.39,103.58,1,711,1,1
3.66,0.37,-0.27,-26.25,-36.74,-40.28,3.69,60.51,1,717,0,1
2.83,-0.51,-0.12,-71.35,-70.13,-177.73,2.88,203.96,1,725,1,0
0.08,-0.02,2.78,67.14,-121.22,-73.97,2.78,157.08,1,578,46,4
-0.03,1.60,0.34,34.06,5.19,163.64,1.64,167.22,1,456,86,4
0.42,1.07,-0.20,-20.45,14.34,9.89,1.17,26.86,1,309,120,8
0.42,1.20,-0.27,-12.88,6.35,16.66,1.30,22.00,1,250,134,7
0.38,1.08,-0.20,-6.84,2.38,-2.99,1.16,7.83,2,233,142,8
0.36,0.91,-0.18,-6.53,2.20,-5.98,0.99,9.12,2,225,143,7
0.35,0.79,-0.17,1.22,0.79,5.49,0.88,5.68,2,218,148,8
0.36,0.96,-0.18,5.49,0.43,17.94,1.04,18.77,2,210,146,9
0.35,1.06,-0.19,12.63,-2.87,10.38,1.13,16.60,2,207,149,9
0.33,0.94,-0.12,13.43,-3.97,0.98,1.00,14.04,2,204,144,8
0.34,0.93,-0.15,6.77,-1.83,-4.76,1.01,8.48,2,207,150,7
0.35,0.88,-0.16,7.02,-2.50,-6.47,0.96,9.87,2,217,145,8
0.35,0.94,-0.15,7.39,-2.99,-5.49,1.02,9.68,2,225,149,8
0.36,0.94,-0.14,7.93,-3.72,-8.18,1.01,11.99,2,227,151,8
0.36,0.96,-0.14,6.90,-5.07,-12.02,1.04,14.76,1,232,150,8
0.34,0.97,-0.14,7.69,-5.31,-15.20,1.03,17.84,1,241,145,9
0.38,0.88,-0.14,19.53,-5.68,-9.64,0.97,22.51,1,253,142,7
0.39,0.78,-0.12,30.03,-8.36,-2.99,0.87,31.31,1,267,148,7
0.35,0.76,-0.05,26.67,-8.97,4.70,0.84,28.53,1,271,141,8
0.33,0.84,0.01,15.14,-4.94,4.88,0.90,16.66,1,260,140,8
0.39,0.98,-0.10,1.53,1.04,1.77,1.06,2.56,1,254,140,7
0.37,0.96,-0.07,4.27,-1.65,-4.70,1.03,6.56,1,254,144,8
0.37,0.95,-0.07,5.19,-1.65,-9.83,1.02,11.23,1,253,146,8
0.40,1.02,-0.10,2.26,-1.59,-16.54,1.10,16.77,1,256,147,9
0.41,1.05,-0.09,-0.12,-3.78,-31.07,1.13,31.30,1,257,145,8
0.38,1.23,-0.04,-9.70,-1.46,-54.38,1.29,55.26,1,262,144,7
0.37,1.43,-0.03,-13.73,0.85,-95.40,1.47,96.39,1,291,143,6
0.42,1.62,-0.12,-16.30,3.17,-152.28,1.67,153.19,1,323,141,8
0.61,2.02,-0.37,-15.01,-3.30,-232.24,2.14,232.75,1,358,128,9
0.69,2.49,-0.15,-11.54,-18.68,-360.90,2.59,361.57,1,461,66,5
0.68,1.72,-0.46,-63.35,-4.27,-395.02,1.91,400.09,1,609,27,3
0.61,2.30,-0.25,-143.25,-29.17,-413.33,2.39,438.42,1,706,11,1
-1.51,-0.67,-0.09,-28.08,-75.62,-212.52,1.65,227.32,1,713,2,7
-0.90,0.68,-0.24,-14.34,-108.58,126.53,1.15,167.35,1,740,2,3
-0.70,0.67,0.01,3.11,-97.35,204.41,0.97,226.43,1,742,0,3
-1.17,0.36,0.08,24.11,-44.92,232.85,1.22,238.37,1,730,1,3
-1.10,0.72,0.01,-14.71,94.91,241.64,1.31,260.03,1,713,0,3
-0.69,1.27,-0.15,14.34,206.85,258.42,1.45,331.32,1,697,0,3
0.58,0.95,-0.95,38.70,152.71,275.88,1.46,317.69,1,661,1,2
0.66,1.77,-0.14,-1.28,-13.37,256.47,1.89,256.82,1,634,1,2
0.75,1.28,0.13,49.26,-3.48,246.34,1.49,251.24,1,638,0,2
2.26,1.67,-0.13,-4.03,88.20,193.05,2.82,212.28,1,643,2,0
3.16,1.13,-0.24,7.51,60.55,63.05,3.37,87.74,1,649,0,1
3.14,0.21,-0.24,20.75,-13.61,31.86,3.16,40.39,1,672,1,1
2.81,-0.31,-0.44,12.15,-17.33,-6.71,2.86,22.21,1,674,0,1
4.00,0.01,0.11,-15.20,42.30,-105.29,4.00,114.48,1,642,25,2
0.24,-1.30,-0.14,31.37,-11.78,73.24,1.33,80.54,1,512,47,4
-0.22,2.46,0.44,-31.92,3.17,12.88,2.51,34.57,1,345,81,7
0.38,0.50,-0.32,-62.38,26.12,5.00,0.71,67.81,2,241,110,7
0.34,0.94,-0.34,-16.30,4.76,-13.98,1.06,21.99,2,215,128,9
0.32,0.77,-0.25,-18.31,3.42,-18.68,0.87,26.38,2,211,133,10
0.30,0.95,-0.23,-20.02,4.88,-14.59,1.02,25.25,2,208,136,9
0.31,0.88,-0.26,-13.85,3.72,-14.40,0.97,20.33,2,208,139,10
0.31,0.90,-0.25,-12.15,4.46,-10.01,0.99,16.36,2,209,142,10
0.34,0.95,-0.31,-6.71,2.93,-9.83,1.06,12.26,2,212,144,9
0.33,0.87,-0.27,4.94,-1.53,-9.09,0.97,10.46,2,217,148,9
0.33,0.88,-0.26,8.85,-2.32,-3.85,0.98,9.92,2,224,143,9
0.32,0.88,-0.23,4.52,-0.31,-2.75,0.96,5.29,2,230,146,10
0.34,0.91,-0.27,4.27,-0.43,-2.20,1.01,4.82,2,230,142,8
0.33,0.88,-0.25,8.42,-1.95,-2.44,0.97,8.98,2,230,146,11
0.33,0.93,-0.26,9.03,-2.38,-1.16,1.02,9.41,2,230,141,10
0.35,0.93,-0.26,15.01,-4.82,-0.61,1.03,15.78,2,230,144,9
0.32,0.89,-0.20,13.18,-5.86,-3.97,0.97,14.96,2,229,146,7
0.33,0.91,-0.20,4.70,-1.65,-4.58,0.99,6.76,1,232,141,9
0.36,0.95,-0.26,2.08,-0.06,-5.37,1.05,5.76,1,237,148,9
0.35,0.90,-0.23,7.26,-2.75,-10.13,0.99,12.77,1,236,149,10
0.36,1.06,-0.27,10.74,-4.82,-12.82,1.15,17.40,1,240,148,10
0.38,1.12,-0.25,18.92,-10.25,-28.44,1.21,35.67,1,243,146,9
0.41,1.18,-0.26,19.96,-13.49,-51.51,1.27,56.87,1,246,148,11
0.37,1.52,-0.20,13.00,-14.65,-91.25,1.58,93.33,1,267,149,11
0.35,1.64,-0.17,4.52,-12.51,-160.58,1.68,161.13,1,293,150,10
0.38,1.86,-0.29,-14.53,-3.72,-242.31,1.92,242.77,1,313,142,9
0.64,2.49,-0.08,-36.07,-5.31,-341.92,2.57,343.86,1,385,77,5
0.74,1.83,-0.49,-40.28,11.35,-404.66,2.03,406.82,1,577,27,3
0.42,2.49,-0.42,-123.41,-16.17,-393.98,2.56,413.18,1,679,11,1
-1.05,-1.75,-0.86,43.76,-92.04,-150.70,2.21,181.92,1,686,2,2
-0.83,0.21,-0.54,-71.96,-195.92,162.35,1.02,264.43,1,730,1,2
-0.75,0.56,-0.08,-75.32,-191.89,220.09,0.94,301.56,1,741,0,1
-0.62,0.73,0.07,-43.88,-137.70,203.55,0.96,249.64,1,726,1,2
-0.63,0.40,-0.02,-12.15,-69.64,186.83,0.75,199.76,1,715,0,2
-0.64,0.59,-0.01,-42.05,0.43,209.84,0.87,214.01,1,708,0,2
-0.33,0.91,0.04,-59.08,73.85,234.44,0.97,252.79,1,706,1,2
0.00,1.36,0.01,-50.60,123.96,237.67,1.36,272.79,1,700,0,2
0.19,1.43,-0.09,-39.12,147.58,236.76,1.44,281.72,1,694,0,1
0.61,1.74,-0.09,-38.39,170.35,248.41,1.84,303.65,1,679,0,2
3.68,2.10,-0.47,-13.98,150.82,154.91,4.27,216.65,1,625,0,1
3.83,0.21,-0.58,13.49,-29.79,70.13,3.88,77.38,1,581,1,3
2.80,0.39,-0.32,-28.26,-73.43,-25.39,2.84,82.67,1,587,0,0
3.86,-0.42,-0.44,-22.71,21.91,-130.00,3.91,133.78,1,554,7,0
0.23,-4.00,0.35,211.24,-52.80,-18.43,4.02,218.52,1,342,63,5
0.12,2.55,-0.12,-23.25,9.46,51.27,2.55,57.09,1,264,99,7
0.36,0.83,-0.24,-38.33,15.62,-31.56,0.93,52.05,2,234,118,9
0.34,0.83,-0.20,-28.93,9.34,-23.19,0.92,38.24,2,220,129,8
0.35,0.97,-0.30,-37.84,11.66,-23.56,1.07,46.08,2,217,138,9
0.38,0.87,-0.34,-29.54,8.85,-19.23,1.01,36.34,2,215,137,10
0.37,0.88,-0.33,-9.89,1.95,-11.05,1.01,14.95,2,217,137,9
0.36,0.85,-0.28,1.59,-0.49,-5.25,0.96,5.51,2,218,140,7
0.37,0.90,-0.29,2.99,0.06,-2.38,1.02,3.82,2,218,147,10
0.36,0.83,-0.25,5.31,-0.61,-2.44,0.93,5.88,2,218,144,9
0.36,0.95,-0.27,-2.75,1.89,-2.56,1.05,4.21,2,219,147,10
0.38,0.92,-0.31,-2.08,1.10,-9.64,1.04,9.93,2,225,145,9
0.38,0.86,-0.29,1.59,-0.55,-10.80,0.98,10.93,2,228,145,9
0.39,0.90,-0.30,6.41,-2.44,-9.58,1.02,11.78,2,230,146,10
0.39,0.83,-0.28,9.64,-3.54,-9.09,0.96,13.72,2,234,146,9
0.40,0.87,-0.26,14.59,-5.43,-5.25,1.00,16.43,2,237,146,10
0.39,0.89,-0.25,17.21,-5.49,-3.36,1.01,18.38,1,243,144,7
0.39,0.86,-0.25,17.58,-5.98,-3.85,0.98,18.96,1,245,145,9
0.39,0.89,-0.23,12.08,-3.85,-4.70,0.99,13.52,1,247,148,9
0.41,1.02,-0.29,13.12,-4.27,-10.38,1.14,17.27,1,253,149,8
0.44,1.12,-0.27,21.12,-10.31,-26.31,1.23,35.28,1,255,151,9
0.46,1.11,-0.27,25.15,-15.99,-52.49,1.23,60.36,1,263,147,9
0.41,1.20,-0.16,6.65,-15.87,-102.36,1.28,103.79,1,274,147,9
0.41,1.55,-0.15,-18.43,-3.36,-164.00,1.61,165.07,1,290,149,10
0.46,2.04,-0.21,-39.37,0.79,-248.90,2.11,252.00,1,301,138,9
0.73,2.55,-0.00,-54.08,8.85,-351.32,2.66,355.57,1,351,84,6
0.81,2.04,-0.34,-81.97,24.23,-417.85,2.22,426.50,1,537,30,3
0.49,1.94,-0.33,-164.43,9.64,-445.74,2.03,475.20,1,687,14,2
-0.63,0.55,-0.07,-130.92,-26.92,-316.65,0.84,343.70,1,711,0,3
-0.77,0.67,-0.20,12.88,-94.97,54.69,1.04,110.34,1,734,0,1
-0.43,0.80,-0.16,73.36,-112.98,240.11,0.92,275.32,1,765,0,2
-0.34,0.57,-0.12,86.49,-88.99,273.25,0.68,300.11,1,760,1,3
-0.14,0.48,-0.48,89.84,-67.50,245.61,0.70,270.09,1,755,1,3
-0.01,0.42,-0.70,34.00,-57.01,248.84,0.81,257.54,1,749,1,2
0.20,0.48,-0.68,-44.25,-59.33,263.55,0.86,273.74,1,736,0,3
0.54,0.85,-0.53,-107.79,-67.38,257.45,1.14,287.12,1,708,1,3
0.60,0.98,-0.41,-158.63,-59.81,244.57,1.22,297.58,1,674,1,3
0.72,1.49,0.04,-191.83,14.71,209.17,1.66,284.20,1,652,1,3
1.62,1.41,0.01,-112.79,123.23,153.93,2.15,227.16,1,659,0,4
2.83,1.25,0.42,-57.01,129.39,102.54,3.12,174.66,1,675,0,2
3.55,0.34,0.53,31.92,-23.50,-16.42,3.60,42.90,1,680,0,2
4.00,1.41,0.35,-50.35,-45.53,-105.16,4.26,125.17,1,637,6,2
1.05,-4.00,-0.78,332.15,-39.25,17.64,4.21,334.93,1,381,72,14
0.46,3.73,-0.64,26.00,6.71,106.63,3.81,109.96,2,227,117,8
0.40,2.57,-0.38,-47.00,6.84,6.35,2.63,47.91,2,201,132,8
0.31,1.02,-0.18,-42.48,12.45,-36.50,1.08,57.37,2,205,145,9
0.35,0.73,-0.27,-35.89,10.50,-35.83,0.86,51.79,2,209,147,8
0.34,0.84,-0.24,-38.21,11.54,-22.46,0.94,45.80,2,209,141,7
0.37,0.86,-0.33,-21.85,5.37,-14.47,0.99,26.75,2,209,144,7
0.38,0.91,-0.32,0.24,-1.04,-8.06,1.04,8.13,2,216,145,7
0.36,0.87,-0.26,7.63,-3.36,-9.46,0.97,12.61,2,225,144,7
0.36,0.92,-0.26,7.75,-2.81,-8.73,1.02,12.01,2,232,141,7
0.36,0.84,-0.24,6.10,-2.14,-10.44,0.95,12.28,2,238,144,8
0.38,0.79,-0.26,6.41,-1.22,-5.07,0.91,8.26,2,240,142,6
0.38,0.88,-0.27,8.54,-2.44,0.06,1.00,8.89,2,239,143,6
0.38,0.89,-0.26,12.57,-4.52,0.85,1.00,13.39,2,237,139,7
0.36,0.85,-0.20,12.02,-4.64,0.85,0.94,12.92,2,237,147,7
0.38,0.92,-0.24,7.14,-1.95,3.85,1.03,8.34,2,238,147,7
0.38,0.92,-0.25,9.03,-3.54,1.53,1.03,9.82,1,237,144,8
0.34,0.89,-0.23,11.05,-4.33,-3.42,0.98,12.35,1,243,147,8
0.40,0.95,-0.26,15.56,-6.65,-11.54,1.06,20.48,1,247,148,7
0.38,0.94,-0.18,16.91,-8.97,-22.34,1.03,29.42,1,252,149,6
0.39,1.03,-0.18,12.21,-4.58,-30.09,1.12,32.79,1,262,150,7
0.39,1.20,-0.18,8.00,-2.08,-47.42,1.28,48.14,1,277,149,7
0.46,1.26,-0.28,3.85,-1.04,-89.17,1.37,89.26,1,302,146,6
0.37,1.58,-0.19,-10.68,-1.95,-143.31,1.64,143.72,1,336,144,9
0.41,2.01,-0.40,-11.05,-13.67,-223.57,2.09,224.26,1,362,135,9
0.44,2.44,-0.36,23.99,-42.66,-353.52,2.50,356.89,1,433,99,5
0.67,1.89,-0.25,27.34,-26.98,-409.61,2.02,411.40,1,647,31,2
0.15,2.25,-0.08,-21.24,-33.26,-414.31,2.25,416.18,1,745,15,2
-0.70,-0.35,0.01,36.56,-26.92,-296.63,0.79,300.08,1,740,2,3
-0.65,0.48,-0.38,17.33,-68.36,57.07,0.89,90.72,1,760,2,4
-0.46,0.89,-0.06,30.70,-75.44,204.22,1.01,219.87,1,777,2,4
-0.43,0.87,0.06,62.38,-41.56,217.35,0.97,229.91,1,772,2,3
-0.28,0.29,-0.47,103.52,-3.42,200.99,0.62,226.11,1,752,1,5
-0.52,-0.06,-0.68,19.78,12.08,238.65,0.86,239.77,1,742,2,5
-0.22,0.79,-0.50,-51.57,36.44,281.74,0.96,288.73,1,735,0,5
0.27,0.95,-0.63,-56.88,54.57,243.65,1.18,256.09,1,708,0,5
0.43,1.28,-0.61,-73.73,62.07,233.40,1.48,252.52,1,660,0,5
0.89,1.33,-0.69,-64.76,56.58,216.37,1.74,232.83,1,628,0,3
1.54,1.69,-0.27,-45.29,40.89,194.03,2.31,203.40,1,621,0,1
2.97,0.59,-0.72,-19.35,4.52,152.47,3.11,153.75,1,575,0,2
3.54,0.40,-0.34,-142.76,-58.90,42.72,3.58,160.23,1,547,1,2
2.98,0.40,0.60,-140.08,-92.90,-30.21,3.06,170.77,1,572,0,0
3.79,4.00,1.30,-112.92,-110.35,-136.35,5.66,208.61,1,421,39,1
0.33,-1.11,-0.11,83.31,18.68,223.94,1.16,239.66,2,249,81,5
0.76,1.40,-0.53,70.01,26.79,95.28,1.68,121.23,3,184,105,12
0.15,0.63,0.24,29.11,-27.83,-61.04,0.69,73.13,3,186,125,12
0.31,0.90,-0.28,-35.89,12.94,-22.52,0.99,44.30,3,190,134,7
0.33,0.88,-0.33,-23.07,7.81,-12.45,0.99,27.36,3,189,140,9
0.31,0.93,-0.25,-12.27,1.16,-12.45,1.01,17.52,3,191,138,7
0.33,1.03,-0.30,-25.09,0.79,-22.95,1.12,34.01,3,195,134,7
0.32,0.95,-0.28,-11.11,-1.53,-22.58,1.04,25.21,3,197,140,9
0.32,0.93,-0.25,-14.71,-0.85,-27.83,1.02,31.49,3,199,138,9
0.34,0.85,-0.28,-23.56,3.23,-29.30,0.96,37.73,2,201,139,7
0.38,0.85,-0.35,-13.00,1.16,-29.42,0.99,32.18,2,208,137,8
0.38,0.79,-0.34,1.34,-2.20,-23.32,0.94,23.46,2,218,135,8
0.39,0.84,-0.33,8.67,-4.09,-13.18,0.98,16.30,2,219,133,9
0.39,0.83,-0.31,16.66,-6.41,-9.03,0.97,20.01,2,224,135,7
0.39,0.80,-0.28,20.26,-6.77,-3.05,0.93,21.58,2,227,140,8
0.40,0.83,-0.27,20.20,-6.59,-1.95,0.95,21.34,2,228,137,7
0.40,0.93,-0.28,17.40,-5.80,-2.87,1.05,18.56,1,235,141,8
0.42,1.00,-0.30,17.40,-6.53,-11.60,1.13,21.90,1,245,146,9
0.42,1.00,-0.29,30.09,-12.51,-26.43,1.13,41.96,1,256,145,6
0.43,1.00,-0.27,27.04,-15.08,-45.17,1.12,54.76,1,261,142,7
0.35,1.37,-0.10,14.65,-14.59,-80.81,1.42,83.41,1,266,140,8
0.33,1.63,-0.02,-3.97,-9.58,-141.97,1.66,142.35,1,297,143,7
0.48,2.09,-0.47,-32.90,1.53,-230.71,2.20,233.05,1,327,137,9
0.50,2.74,-0.29,-17.76,-16.85,-352.72,2.80,353.57,1,353,106,7
0.70,2.52,-0.18,-16.97,-2.50,-447.69,2.62,448.02,1,551,30,2
0.29,2.94,-0.11,-80.99,-10.44,-461.43,2.96,468.60,1,707,12,2
-1.10,-0.66,0.01,41.93,-18.37,-317.75,1.28,321.03,1,725,2,10
-0.55,0.65,-0.52,2.08,-80.63,85.33,1.00,117.41,1,736,2,4
-0.50,1.00,-0.15,49.32,-125.73,235.11,1.13,271.14,1,753,2,3
-0.62,0.67,-0.10,77.45,-90.94,247.13,0.92,274.49,1,748,1,5
-0.64,0.29,-0.34,82.15,-32.41,253.60,0.78,268.54,1,741,1,6
-0.29,0.47,-0.44,20.87,7.57,281.01,0.70,281.88,1,722,1,5
0.48,0.57,-0.68,-16.05,-5.19,283.75,1.01,284.25,1,701,1,5
0.69,0.92,-0.25,-96.92,-60.55,278.93,1.18,301.43,1,672,1,5
1.23,1.36,0.34,-93.02,-36.68,280.82,1.86,298.09,1,662,1,4
2.27,1.23,0.36,-67.50,49.50,213.01,2.61,228.87,1,641,0,5
3.15,0.87,0.14,-27.04,123.05,97.17,3.27,159.10,1,617,1,4
3.50,-0.27,-0.43,-24.29,48.52,-60.91,3.53,81.58,1,607,0,3
2.08,4.00,0.43,-142.27,-55.30,-181.70,4.53,237.31,1,581,60,8
-0.40,3.53,-0.08,-240.78,32.84,255.37,3.56,352.52,1,264,105,7
0.15,0.35,-0.02,108.46,-13.92,62.13,0.38,125.77,2,199,131,10
0.11,0.61,0.30,40.77,-14.47,-37.96,0.69,57.56,2,199,141,8
0.33,0.96,-0.24,-52.55,16.30,-52.31,1.04,75.92,2,210,144,9
0.34,0.68,-0.25,-40.16,9.89,-38.88,0.80,56.77,2,211,143,9
0.32,1.04,-0.19,-40.59,11.54,-12.76,1.10,44.08,2,214,147,10
0.37,0.92,-0.33,-20.45,6.71,-11.78,1.04,24.53,2,215,147,8
0.35,0.94,-0.28,8.00,-4.15,-9.70,1.05,13.24,2,217,148,9
0.35,0.95,-0.23,6.59,-3.17,-15.62,1.04,17.25,2,225,143,10
0.35,0.91,-0.22,4.03,-1.46,-19.10,1.00,19.58,2,240,146,10
0.37,0.82,-0.22,4.64,-0.49,-16.17,0.93,16.83,1,247,146,9
0.38,0.80,-0.24,5.86,0.00,-4.03,0.91,7.11,2,249,148,8
0.39,0.91,-0.25,9.70,-1.89,2.38,1.02,10.17,1,250,146,9
0.38,0.89,-0.22,14.89,-3.97,2.56,1.00,15.62,1,247,146,9
0.37,0.82,-0.17,11.23,-1.95,4.03,0.91,12.09,1,244,145,10
0.37,0.90,-0.20,6.59,-0.12,6.90,0.99,9.54,1,243,148,8
0.37,0.93,-0.19,2.93,1.77,4.76,1.01,5.86,1,248,144,9
0.39,0.97,-0.25,12.33,-2.56,-2.01,1.08,12.75,1,254,145,9
0.39,1.07,-0.25,18.49,-6.41,-8.61,1.17,21.38,1,262,149,9
0.40,1.12,-0.22,27.22,-10.31,-25.63,1.21,38.79,1,270,152,10
0.39,1.16,-0.16,30.82,-13.00,-49.01,1.24,59.34,1,290,145,11
0.45,1.35,-0.27,20.75,-12.51,-81.24,1.45,84.77,1,319,137,8
0.43,1.58,-0.29,24.90,-19.17,-133.12,1.66,136.78,1,360,140,7
0.46,1.84,-0.30,31.62,-25.02,-200.68,1.92,204.69,1,388,137,7
0.47,2.23,-0.51,40.95,-40.04,-284.73,2.33,290.43,1,458,116,8
0.77,2.80,-0.22,76.29,-48.83,-402.71,2.91,412.77,1,654,39,2
0.14,2.57,-0.34,11.54,-48.89,-400.76,2.59,403.89,1,769,17,3
-0.43,0.15,-0.43,52.25,-63.42,-346.86,0.63,356.46,1,779,6,9
-1.29,-0.32,-0.38,51.39,-49.01,-21.91,1.39,74.32,1,769,1,10
-0.69,1.04,-0.23,26.31,4.09,214.23,1.27,215.88,1,799,0,8
-0.53,0.55,-0.32,54.08,39.31,244.32,0.82,253.31,1,790,3,9
-0.06,0.60,-0.52,24.35,64.27,254.52,0.80,263.63,1,769,1,9
-0.04,0.59,-0.40,-16.97,57.01,245.73,0.72,252.82,1,761,1,9
0.04,0.98,-0.16,-42.60,42.05,248.47,0.99,255.58,1,759,2,10
0.19,1.01,-0.10,-35.89,2.93,258.91,1.03,261.40,1,753,2,9
0.40,1.28,0.07,-56.34,-20.14,251.65,1.35,258.66,1,745,0,10
0.68,1.39,0.34,-58.23,-23.68,220.40,1.58,229.19,1,741,2,8
1.77,1.62,0.30,-36.93,23.07,180.54,2.41,185.72,1,749,2,8
3.24,0.98,0.24,-38.15,76.84,82.34,3.40,118.91,1,777,0,5
3.93,0.35,0.27,8.24,60.30,-25.63,3.96,66.04,1,789,2,6
2.99,-0.39,0.01,13.79,1.59,-115.17,3.02,116.01,1,768,6,5
0.32,-4.00,0.17,213.20,-42.18,-57.80,4.02,224.88,1,612,68,16
-0.28,2.13,0.59,14.47,-25.09,169.80,2.23,172.25,1,297,104,4
0.30,0.58,-0.12,12.02,-3.85,21.73,0.66,25.13,2,225,127,8
0.22,1.00,0.11,7.57,-6.16,-34.00,1.03,35.37,2,218,139,9
0.31,0.84,-0.10,-12.88,5.43,-21.61,0.90,25.73,2,219,147,7
0.33,0.80,-0.13,-10.44,6.16,-1.65,0.88,12.23,2,220,148,8
0.32,0.88,-0.12,0.24,3.72,14.95,0.95,15.41,2,215,149,7
0.32,0.97,-0.13,13.92,1.10,28.38,1.03,31.63,2,208,148,8
0.29,1.08,-0.08,27.83,-4.39,30.15,1.12,41.27,2,201,148,8
0.25,1.05,-0.02,23.86,-3.66,16.17,1.08,29.06,2,199,145,7
0.25,1.02,-0.02,9.95,0.18,1.65,1.05,10.09,2,205,146,8
0.27,0.94,-0.04,-0.12,3.30,-7.93,0.98,8.59,2,218,145,9
0.30,1.00,-0.09,-4.39,2.01,-12.76,1.04,13.64,2,233,145,5
0.29,0.97,-0.07,-1.53,-0.24,-17.82,1.01,17.89,1,248,145,7
0.29,0.89,-0.04,-2.01,0.24,-18.74,0.94,18.85,1,257,143,7
0.31,0.97,-0.08,-4.39,2.08,-17.58,1.02,18.24,1,265,148,6
0.32,0.97,-0.09,-0.37,0.73,-18.62,1.02,18.63,1,269,147,5
0.28,0.92,-0.08,3.11,-0.37,-20.57,0.96,20.81,1,276,151,6
0.32,0.86,-0.04,1.40,0.67,-16.91,0.92,16.98,1,274,151,6
0.32,0.93,-0.04,-10.56,5.98,-16.48,0.99,20.47,1,276,153,8
0.36,0.98,-0.10,-21.97,10.25,-20.39,1.05,31.68,1,281,146,7
0.43,1.18,-0.19,-9.70,3.91,-36.07,1.27,37.56,1,284,152,7
0.37,1.43,-0.12,2.08,-2.44,-65.37,1.48,65.45,1,306,149,7
0.38,1.58,-0.15,4.76,-8.42,-118.41,1.63,118.80,1,344,144,7
0.40,1.89,-0.35,7.63,-13.37,-183.53,1.97,184.18,1,403,141,5
0.39,2.34,-0.54,42.18,-44.31,-274.29,2.44,281.03,1,457,131,6
0.48,3.14,0.17,51.21,-59.20,-392.58,3.18,400.31,1,596,70,4
0.67,1.29,-0.04,37.66,-25.21,-439.21,1.46,441.54,1,758,22,1
0.18,1.95,-0.46,12.70,-29.17,-426.27,2.02,427.46,1,778,9,2
-2.29,-0.73,-0.33,93.26,-33.02,-115.60,2.43,152.16,1,774,2,11
-1.15,0.36,-0.24,-13.61,-1.16,171.39,1.23,171.93,1,812,1,7
-0.55,0.74,-0.11,2.01,24.72,236.02,0.92,237.32,1,810,0,9
-0.41,0.53,-0.26,26.79,37.84,255.49,0.72,259.67,1,793,0,8
-0.30,0.53,-0.33,3.48,35.03,265.62,0.69,267.95,1,779,0,10
0.04,0.68,-0.04,-23.68,23.38,284.97,0.68,286.91,1,768,0,9
0.42,1.20,0.02,-49.01,-2.99,266.66,1.27,271.15,1,750,0,9
0.33,1.41,0.29,-45.59,-46.75,244.75,1.48,253.31,1,737,0,8
0.21,1.66,0.41,-30.58,-28.81,236.76,1.72,240.45,1,735,0,7
0.98,1.59,0.18,-6.47,29.97,216.49,1.88,218.65,1,733,1,8
2.42,1.19,-0.11,-59.63,50.84,122.62,2.70,145.52,1,728,0,5
2.83,0.97,0.13,-64.09,30.52,34.18,2.99,78.78,1,741,0,3
2.89,0.13,-0.51,-2.69,46.39,-28.99,2.93,54.77,1,753,0,2
4.00,0.74,-0.05,-46.94,50.84,-170.29,4.07,183.81,1,672,19,1
-0.10,-3.94,0.99,268.37,-87.83,20.08,4.07,283.09,1,350,79,12
0.06,1.67,0.25,29.60,-0.55,55.42,1.69,62.83,2,210,113,9
0.38,2.03,-0.37,-34.30,10.25,2.69,2.10,35.90,3,193,128,9
0.26,0.72,0.03,-18.62,-0.67,-45.17,0.76,48.86,2,195,135,8
0.32,0.88,-0.12,-28.14,7.69,-21.85,0.94,36.45,3,198,146,7
0.35,0.97,-0.17,-11.66,3.11,-11.90,1.05,16.95,3,199,146,6
0.33,0.95,-0.15,-2.99,1.95,-5.74,1.01,6.76,3,201,149,5
0.33,1.02,-0.14,3.23,-0.55,-10.25,1.09,10.77,2,200,148,8
0.33,0.96,-0.12,0.06,-0.12,-19.41,1.02,19.41,2,207,150,6
0.34,0.94,-0.12,-2.69,0.92,-25.21,1.01,25.37,2,215,147,7
0.37,0.91,-0.16,-4.27,1.77,-27.40,1.00,27.79,2,226,142,6
0.38,0.84,-0.15,0.67,-0.55,-25.76,0.93,25.77,2,234,148,7
0.39,0.88,-0.16,1.95,-1.16,-21.30,0.98,21.42,2,239,148,6
0.41,0.83,-0.16,8.18,-3.42,-15.14,0.94,17.54,2,246,148,7
0.39,0.80,-0.12,11.78,-5.31,-4.39,0.90,13.65,2,244,142,8
0.41,0.83,-0.14,11.41,-4.76,2.87,0.93,12.70,2,240,147,6
0.39,0.93,-0.10,12.70,-7.51,4.09,1.01,15.31,2,231,145,7
0.38,0.86,-0.06,14.65,-6.65,-1.77,0.94,16.19,2,225,149,5
0.39,0.90,-0.08,10.25,-2.08,-5.49,0.98,11.82,2,226,149,7
